profile,delay_ms,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519,10,48,200,0.000137,0.002222,0.012968,0.012996
X25519,10,49,200,0.000133,0.002735,0.013500,0.013515
X25519,10,50,200,0.000165,0.002834,0.013766,0.013797
X25519,10,51,200,0.000171,0.002337,0.013316,0.013368
X25519,10,52,200,0.000172,0.002412,0.013245,0.013262
X25519,10,53,200,0.000152,0.002866,0.013831,0.013858
X25519,10,54,200,0.000184,0.002443,0.013406,0.013433
X25519,10,55,200,0.000135,0.002831,0.013848,0.013878
X25519,10,56,200,0.000154,0.002415,0.013335,0.013369
X25519,10,57,200,0.000163,0.002900,0.013876,0.013905
X25519,10,58,200,0.000161,0.002969,0.013962,0.014000
X25519,10,59,200,0.000161,0.002474,0.013333,0.013347
X25519,10,60,200,0.000157,0.002425,0.013305,0.013335
X25519,10,61,200,0.000163,0.002933,0.013871,0.013900
X25519,10,62,200,0.000139,0.002961,0.013954,0.013986
X25519,10,63,200,0.000130,0.002436,0.013436,0.013462
X25519,10,64,200,0.000162,0.002481,0.013483,0.013515
X25519,10,65,200,0.000181,0.002598,0.013676,0.013707
X25519,10,66,200,0.000154,0.002406,0.013241,0.013272
X25519,10,67,200,0.000140,0.002411,0.013375,0.013404
X25519,10,68,200,0.000141,0.002566,0.013500,0.013561
X25519,10,69,200,0.000158,0.003116,0.013992,0.014022
X25519,10,70,200,0.000202,0.002644,0.013475,0.013495
X25519,10,71,200,0.000128,0.002418,0.013259,0.013314
X25519,10,72,200,0.000179,0.002535,0.013533,0.013557
X25519,10,73,200,0.000160,0.002521,0.013490,0.013520
X25519,10,74,200,0.000172,0.002990,0.013839,0.013858
X25519,10,75,200,0.000160,0.002565,0.013553,0.013574
X25519,10,76,200,0.000144,0.002489,0.013310,0.013329
X25519,10,77,200,0.000146,0.003109,0.014159,0.014191
X25519,10,78,200,0.000141,0.002401,0.013428,0.013446
X25519,10,79,200,0.000141,0.002945,0.013863,0.013894
X25519,10,80,200,0.000155,0.003031,0.014004,0.014021
X25519,10,81,200,0.000146,0.002528,0.013331,0.013348
X25519,10,82,200,0.000162,0.002748,0.013717,0.013736
X25519,10,83,200,0.000163,0.002493,0.013459,0.013489
X25519,10,84,200,0.000198,0.002471,0.013445,0.013482
X25519,10,85,200,0.000207,0.002682,0.013606,0.013638
X25519,10,86,200,0.000136,0.002430,0.013396,0.013413
X25519,10,87,200,0.000162,0.002883,0.013823,0.013840
X25519,10,88,200,0.000215,0.002555,0.013521,0.013557
X25519,10,89,200,0.000160,0.002669,0.013622,0.013697
X25519,10,90,200,0.000127,0.002447,0.013344,0.013376
X25519,10,91,200,0.000132,0.002584,0.013656,0.013692
X25519,10,92,200,0.000137,0.002547,0.013392,0.013428
X25519,10,93,200,0.000168,0.002680,0.013543,0.013562
X25519,10,94,200,0.000134,0.002377,0.013209,0.013240
X25519,10,95,200,0.000148,0.002833,0.013839,0.013855
X25519,10,96,200,0.000136,0.002417,0.013297,0.013318
X25519,10,97,200,0.000138,0.003053,0.014000,0.014034
X25519,10,98,200,0.000149,0.002422,0.013413,0.013444
X25519,10,99,200,0.000156,0.002776,0.013609,0.013625
X25519,10,100,200,0.000142,0.002982,0.014003,0.014045
X25519,10,101,200,0.000144,0.002632,0.013509,0.013537
X25519,10,102,200,0.000140,0.002400,0.013306,0.013333
X25519,10,103,200,0.000118,0.002557,0.013400,0.013431
X25519,10,104,200,0.000148,0.002534,0.013478,0.013510
X25519,10,105,200,0.000155,0.002419,0.013350,0.013383
X25519,10,106,200,0.000125,0.002413,0.013303,0.013334
X25519,10,107,200,0.000146,0.002525,0.013393,0.013408
X25519,10,108,200,0.000148,0.002512,0.013440,0.013472
X25519,10,109,200,0.000156,0.002582,0.013621,0.013648
X25519,10,110,200,0.000142,0.002442,0.013424,0.013452
X25519,10,111,200,0.000132,0.002580,0.013584,0.013611
X25519,10,112,200,0.000147,0.002641,0.013736,0.013768
X25519,10,113,200,0.000137,0.003032,0.014158,0.014186
X25519,10,114,200,0.000158,0.002470,0.013695,0.013725
X25519,10,115,200,0.000150,0.002994,0.013935,0.013967
X25519,10,116,200,0.000142,0.003107,0.014072,0.014099
X25519,10,117,200,0.000130,0.002530,0.013502,0.013529
X25519,10,118,200,0.000135,0.002427,0.013377,0.013405
X25519,10,119,200,0.000150,0.002648,0.013628,0.013664
X25519,10,120,200,0.000172,0.002824,0.013932,0.013989
X25519,10,121,200,0.000219,0.003246,0.014425,0.014460
X25519,10,122,200,0.000200,0.003110,0.014209,0.014248
